Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,81.949997,81.949997,80.800003,81.050003,80.419266,7797743
2020-01-02,81.000000,84.500000,80.800003,84.000000,83.346306,22915441
2020-01-03,84.250000,84.949997,82.900002,83.699997,83.048637,16113767
2020-01-06,82.550003,83.150002,79.550003,80.349998,79.724709,15558034
2020-01-07,81.000000,82.449997,80.599998,82.099998,81.461090,16134697
2020-01-08,80.300003,81.500000,80.000000,80.500000,79.873543,11813306
2020-01-09,81.500000,82.800003,81.150002,82.449997,81.808365,18200762
2020-01-10,82.849998,83.000000,81.050003,81.349998,80.716927,19483444
2020-01-13,81.849998,82.400002,81.199997,81.650002,81.014595,11504002
2020-01-14,81.650002,81.900002,80.800003,81.349998,80.716927,13478329
2020-01-15,81.599998,82.800003,80.599998,82.500000,81.857979,18973316
2020-01-16,82.800003,84.000000,82.300003,83.550003,82.899811,17444288
2020-01-17,83.349998,84.750000,83.099998,84.000000,83.346306,11892599
2020-01-20,84.050003,85.949997,84.000000,84.800003,84.140083,21008247
2020-01-21,84.199997,86.650002,83.599998,86.300003,85.628410,22562935
2020-01-22,86.750000,87.250000,85.000000,85.900002,85.231522,18524416
2020-01-23,85.599998,87.000000,85.599998,86.599998,85.926071,8669370
2020-01-24,86.800003,87.500000,86.099998,86.500000,85.826851,8396545
2020-01-27,85.800003,87.000000,85.000000,85.400002,84.735413,9090936
2020-01-28,85.900002,86.849998,84.250000,84.650002,83.991249,14793425
2020-01-29,85.150002,85.599998,84.300003,84.599998,83.941635,7987239
2020-01-30,84.550003,84.949997,82.250000,83.400002,82.750977,12926430
2020-01-31,83.699997,83.900002,81.500000,81.949997,81.312256,11977376
2020-02-03,77.000000,79.000000,74.800003,78.000000,77.392998,29818912
2020-02-04,78.000000,79.300003,77.349998,79.000000,78.385216,18338944
2020-02-05,79.099998,82.300003,79.099998,80.349998,79.724709,23395561
2020-02-06,80.750000,81.900002,79.550003,80.949997,80.320038,20629194
2020-02-07,81.199997,84.050003,79.800003,83.750000,83.098251,29711890
2020-02-10,83.550003,84.449997,81.900002,82.949997,82.304474,20133624
2020-02-11,83.500000,84.449997,82.599998,82.900002,82.254868,14986558
