Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,1257.900024,1265.500000,1255.800049,1260.449951,1246.993652,4253550
2021-01-04,1269.000000,1290.000000,1261.150024,1288.250000,1274.496948,7208454
2021-01-05,1282.000000,1299.000000,1275.050049,1293.800049,1279.987671,8145280
2021-01-06,1300.000000,1302.000000,1268.050049,1282.099976,1268.412598,7161715
2021-01-07,1296.000000,1297.650024,1255.500000,1262.150024,1248.675537,10954918
2021-01-08,1278.250000,1316.800049,1278.250000,1312.099976,1298.092285,13186251
2021-01-11,1342.099976,1383.349976,1340.000000,1376.199951,1361.507935,20528626
2021-01-12,1378.000000,1378.000000,1360.000000,1371.750000,1357.105469,8309868
2021-01-13,1373.849976,1392.800049,1360.000000,1387.150024,1372.341064,14442997
2021-01-14,1360.000000,1384.000000,1318.449951,1370.500000,1355.868774,27521697
2021-01-15,1360.000000,1364.449951,1340.000000,1344.949951,1330.591553,15018441
2021-01-18,1338.000000,1340.000000,1306.000000,1312.050049,1298.042847,8861765
2021-01-19,1320.000000,1331.000000,1312.000000,1316.650024,1302.593750,5585744
2021-01-20,1320.550049,1348.400024,1320.550049,1339.449951,1325.150269,8225838
2021-01-21,1350.000000,1361.050049,1335.000000,1339.699951,1325.397583,6142421
2021-01-22,1327.000000,1356.000000,1326.550049,1340.849976,1326.535400,9646591
2021-01-25,1345.000000,1347.900024,1313.000000,1325.099976,1310.953491,6542611
2021-01-27,1319.599976,1327.550049,1285.099976,1301.000000,1287.110840,8133665
2021-01-28,1291.800049,1296.449951,1272.550049,1276.199951,1262.575562,4660690
2021-01-29,1286.250000,1291.150024,1231.000000,1239.050049,1225.822266,12183519
2021-02-01,1250.550049,1277.949951,1241.000000,1260.900024,1247.438965,8880279
2021-02-02,1280.000000,1294.400024,1263.599976,1271.250000,1257.678345,6892490
2021-02-03,1277.650024,1304.000000,1273.000000,1284.650024,1270.935425,8182968
2021-02-04,1285.000000,1293.400024,1272.050049,1279.349976,1265.691895,5032240
2021-02-05,1286.400024,1288.750000,1262.000000,1272.099976,1258.519287,5477481
2021-02-08,1285.500000,1310.000000,1275.500000,1303.550049,1289.633667,6921922
2021-02-09,1306.900024,1332.000000,1297.849976,1305.550049,1291.612305,7965949
2021-02-10,1295.800049,1304.349976,1283.599976,1296.500000,1282.658813,5951207
2021-02-11,1289.000000,1296.000000,1283.050049,1292.650024,1278.849976,4673317
2021-02-12,1305.000000,1323.750000,1301.550049,1309.800049,1295.816895,5797875
2021-02-15,1320.000000,1328.400024,1307.099976,1309.650024,1295.668457,4363513
2021-02-16,1314.000000,1319.750000,1286.000000,1290.400024,1276.624023,6896421
2021-02-17,1290.400024,1294.500000,1275.000000,1281.300049,1267.621216,4575741
2021-02-18,1276.000000,1306.000000,1275.000000,1292.449951,1278.651978,6437551
2021-02-19,1296.099976,1299.500000,1276.800049,1291.300049,1277.514404,5389696
2021-02-22,1295.000000,1308.550049,1260.000000,1265.199951,1251.692993,7371303
2021-02-23,1271.150024,1291.000000,1257.550049,1266.349976,1252.830688,6612942
2021-02-24,1260.050049,1276.599976,1252.000000,1274.300049,1260.695923,4537258
2021-02-25,1288.449951,1299.750000,1272.000000,1274.550049,1260.943237,8788221
2021-02-26,1269.000000,1274.300049,1244.750000,1253.300049,1239.920044,15132388
2021-03-01,1263.300049,1284.500000,1259.000000,1267.000000,1253.473755,5756286
2021-03-02,1282.250000,1310.000000,1279.199951,1304.500000,1290.573486,10461434
2021-03-03,1319.199951,1347.000000,1308.000000,1343.550049,1329.206543,9056399
2021-03-04,1335.000000,1363.849976,1325.900024,1330.349976,1316.147461,12041941
2021-03-05,1328.500000,1340.000000,1305.050049,1316.699951,1302.643188,6486176
2021-03-08,1324.800049,1346.099976,1317.199951,1335.750000,1321.489868,5119392
2021-03-09,1329.500000,1350.449951,1318.750000,1345.550049,1331.185303,6518173
2021-03-10,1356.900024,1374.000000,1355.000000,1368.150024,1353.543945,7925984
2021-03-12,1373.000000,1391.699951,1370.050049,1374.849976,1360.172363,9462061
2021-03-15,1370.000000,1379.900024,1358.500000,1373.599976,1358.935669,6658635
2021-03-16,1386.050049,1406.000000,1380.500000,1384.000000,1369.224731,9352771
2021-03-17,1392.250000,1400.000000,1382.000000,1387.000000,1372.192627,7626744
2021-03-18,1393.750000,1393.750000,1313.500000,1337.099976,1322.825439,10961755
2021-03-19,1330.000000,1355.199951,1318.000000,1344.449951,1330.096924,12767112
2021-03-22,1350.099976,1376.000000,1336.099976,1370.800049,1356.165649,4862758
2021-03-23,1372.449951,1383.250000,1359.599976,1371.550049,1356.907715,7165335
2021-03-24,1357.849976,1370.449951,1346.250000,1353.750000,1339.297607,6134303
2021-03-25,1346.750000,1352.500000,1327.599976,1333.800049,1319.560669,8749994
2021-03-26,1344.699951,1356.699951,1332.000000,1336.199951,1321.934937,4922071
2021-03-30,1346.900024,1400.000000,1336.150024,1385.300049,1370.510864,10546381
2021-03-31,1382.000000,1388.000000,1363.300049,1368.050049,1353.445068,8220987
2021-04-01,1380.000000,1391.599976,1371.000000,1385.199951,1370.411865,5675155
2021-04-05,1391.000000,1425.000000,1387.000000,1409.900024,1394.848267,9479572
2021-04-06,1423.000000,1426.000000,1406.449951,1411.050049,1395.985962,5793571
2021-04-07,1410.250000,1434.949951,1406.599976,1430.199951,1414.931396,5879234
2021-04-08,1430.000000,1451.699951,1421.000000,1439.849976,1424.478394,5654434
2021-04-09,1455.000000,1455.000000,1430.050049,1441.050049,1425.665649,6052712
2021-04-12,1474.000000,1477.550049,1415.000000,1425.750000,1410.529053,20384532
2021-04-13,1433.000000,1435.250000,1375.000000,1397.150024,1382.234375,14855206
2021-04-15,1332.300049,1366.400024,1320.000000,1360.750000,1346.222900,25342491
2021-04-16,1365.000000,1370.849976,1346.599976,1353.750000,1339.297607,10879878
2021-04-19,1340.000000,1379.699951,1332.349976,1362.550049,1348.003784,12508028
2021-04-20,1379.000000,1379.000000,1342.400024,1351.349976,1336.923218,8560766
2021-04-22,1355.550049,1364.800049,1345.150024,1351.099976,1336.675903,6622446
2021-04-23,1343.000000,1348.400024,1331.000000,1333.800049,1319.560669,7316262
2021-04-26,1332.250000,1351.300049,1321.000000,1343.550049,1329.206543,7088606
2021-04-27,1346.000000,1353.000000,1340.150024,1348.500000,1334.103760,3636115
2021-04-28,1358.000000,1359.500000,1344.599976,1356.000000,1341.523682,4879234
2021-04-29,1368.000000,1369.000000,1351.400024,1356.349976,1341.869873,5412357
2021-04-30,1346.300049,1373.900024,1345.900024,1354.349976,1339.891235,8354677
2021-05-03,1340.800049,1361.000000,1338.000000,1352.050049,1337.615845,4560337
2021-05-04,1354.000000,1354.949951,1324.099976,1329.400024,1315.207642,4887060
2021-05-05,1341.099976,1343.900024,1327.800049,1341.500000,1327.178467,3939788
2021-05-06,1345.000000,1364.699951,1337.400024,1361.599976,1347.063843,4810090
2021-05-07,1365.300049,1373.050049,1348.500000,1352.550049,1338.110474,4991435
2021-05-10,1349.849976,1352.900024,1335.050049,1339.550049,1325.249268,7195348
2021-05-11,1336.900024,1341.000000,1325.099976,1330.650024,1316.444336,6420988
2021-05-12,1330.000000,1330.000000,1314.500000,1327.000000,1312.833252,5241898
2021-05-14,1326.849976,1326.849976,1311.300049,1316.400024,1302.346436,4824609
2021-05-17,1320.300049,1334.949951,1320.300049,1329.400024,1315.207642,5017129
2021-05-18,1338.000000,1344.599976,1329.500000,1340.000000,1325.694458,5620150
2021-05-19,1342.000000,1357.449951,1333.250000,1337.000000,1322.726440,4435878
2021-05-20,1348.400024,1349.099976,1335.000000,1339.300049,1325.001953,4490092
2021-05-21,1347.500000,1357.500000,1346.349976,1354.500000,1340.039673,4969733
2021-05-24,1356.650024,1363.000000,1345.099976,1348.050049,1333.658569,4225371
2021-05-25,1358.000000,1368.000000,1354.449951,1361.599976,1347.063843,4099340
2021-05-26,1367.900024,1400.000000,1362.050049,1397.250000,1382.333252,6850024
2021-05-27,1404.199951,1416.250000,1391.699951,1402.250000,1387.279907,15365391
2021-05-28,1409.750000,1414.000000,1396.099976,1405.050049,1390.050049,4261312
2021-05-31,1401.500000,1401.500000,1383.000000,1393.750000,1393.750000,4429904
2021-06-01,1400.000000,1401.000000,1378.650024,1387.199951,1387.199951,4791325
2021-06-02,1380.750000,1391.949951,1365.000000,1378.650024,1378.650024,9272276
2021-06-03,1388.099976,1399.000000,1377.050049,1389.650024,1389.650024,5115645
2021-06-04,1393.949951,1396.900024,1377.650024,1385.650024,1385.650024,4194328
2021-06-07,1391.000000,1392.000000,1377.300049,1389.650024,1389.650024,5154576
2021-06-08,1396.000000,1421.750000,1395.550049,1412.949951,1412.949951,7360630
2021-06-09,1413.400024,1425.000000,1404.599976,1415.300049,1415.300049,5394317
2021-06-10,1424.000000,1429.000000,1419.000000,1424.300049,1424.300049,3496575
2021-06-11,1430.099976,1451.599976,1429.449951,1446.900024,1446.900024,6140828
